iter	RMSE
0	9014.942276
1	8671.413793
2	8345.893657
3	8058.723083
4	7748.771295
5	7461.245827
6	7188.260168
7	6922.271655
8	6685.209706
9	6425.713261
10	6203.166865
11	5962.628174
12	5746.834255
13	5532.269329
14	5320.444725
15	5123.375054
16	4947.552691
17	4762.26434
18	4586.189533
19	4411.136607
20	4256.404526
21	4094.176904
22	3936.655159
23	3795.371571
24	3662.201573
25	3523.24877
26	3401.670815
27	3283.646471
28	3158.057652
29	3039.699856
30	2923.295962
31	2820.725888
32	2721.900202
33	2619.248751
34	2526.072903
35	2440.856417
36	2351.230767
37	2266.404893
38	2181.050846
39	2104.588482
40	2025.803645
41	1951.906797
42	1885.4538
43	1820.068402
44	1760.638825
45	1699.87717
46	1637.315807
47	1577.348814
48	1524.820333
49	1470.566579
50	1415.738538
51	1367.704981
52	1322.933823
53	1275.672323
54	1232.666384
55	1189.332372
56	1147.947336
57	1109.947698
58	1075.165672
59	1037.446623
60	1001.168161
61	970.0341845
62	938.0572978
63	907.1378465
64	878.9721109
65	850.2093622
66	821.4466305
67	794.667523
68	767.5165866
69	742.9467526
70	719.9971919
71	697.2817732
72	675.6934468
73	654.9866545
74	635.0198377
75	615.6342947
76	597.0639941
77	580.5103333
78	563.4505803
79	547.1120278
80	530.2725519
81	514.8271323
82	500.5443929
83	487.2739375
84	473.8842749
85	461.1156273
86	449.3945674
87	437.0464574
88	425.6745635
89	415.0187872
90	405.8031189
91	395.5470209
92	386.2520525
93	377.6881626
94	369.7486869
95	361.1073515
96	353.4255858
97	346.8787398
98	339.5841849
99	332.8383018
100	326.9778525
101	321.8141098
102	315.6991619
103	309.9236786
104	304.6297954
105	299.6886913
106	294.9890066
107	290.1709148
108	286.2764745
109	281.8838027
110	277.8702178
111	274.1908704
112	270.4918696
113	266.8728912
114	263.5377351
115	260.0970387
116	256.9901148
117	254.2849373
118	251.5312026
119	248.807665
120	246.313231
121	244.0783883
122	241.9271225
123	239.8019269
124	237.8003269
125	236.0022093
126	234.2062843
127	232.5608709
128	230.7227052
129	229.1607507
130	227.4890605
131	226.0096835
132	224.4615539
133	223.2522866
134	222.1013863
135	221.0021046
136	219.7860764
137	218.7231374
138	217.5679956
139	216.3276949
140	215.3298607
141	214.2290828
142	213.391011
143	212.4374149
144	211.599354
145	210.64146
146	209.7758754
147	209.0631561
148	208.2896736
149	207.4092403
150	206.9412816
151	206.1423585
152	205.299265
153	204.6197601
154	203.881646
155	203.2063971
156	202.5793948
157	202.0143864
158	201.4143394
159	200.868197
160	200.189496
161	199.654176
162	199.131195
163	198.4900368
164	197.9066177
165	197.3530763
166	196.8217439
167	196.348984
168	195.8877319
169	195.3956602
170	194.8722772
171	194.3608398
172	193.7888143
173	193.1947443
174	192.7258897
175	192.2823022
176	192.0361793
177	191.527448
178	191.1812387
