iter	Passed	Remaining
0	145	145743
1	146	73230
2	147	49033
3	148	36923
4	149	29665
5	149	24823
6	150	21368
7	151	18774
8	152	16751
9	152	15135
10	153	13817
11	154	12716
12	155	11783
13	155	10983
14	156	10286
15	157	9673
16	158	9140
17	158	8663
18	159	8234
19	160	7847
20	160	7500
21	161	7184
22	162	6897
23	163	6631
24	163	6386
25	164	6159
26	165	5951
27	165	5757
28	166	5576
29	167	5407
30	167	5248
31	168	5100
32	169	4959
33	169	4828
34	170	4705
35	171	4588
36	172	4478
37	172	4374
38	173	4273
39	174	4178
40	174	4088
41	175	4003
42	176	3921
43	176	3843
44	177	3768
45	178	3697
46	178	3629
47	179	3563
48	180	3500
49	181	3439
50	181	3381
51	182	3324
52	183	3270
53	183	3218
54	184	3168
55	185	3120
56	185	3073
57	186	3030
58	187	2986
59	187	2943
60	188	2902
61	189	2863
62	189	2824
63	190	2787
64	191	2751
65	191	2716
66	192	2682
67	193	2646
68	193	2614
69	194	2584
70	195	2554
71	195	2525
72	196	2496
73	197	2468
74	197	2441
75	198	2415
76	199	2390
77	200	2365
78	200	2341
79	201	2317
80	202	2294
81	202	2271
82	203	2249
83	204	2227
84	204	2204
85	205	2183
86	205	2161
87	206	2141
88	207	2122
89	208	2103
90	208	2085
91	209	2066
92	210	2048
93	210	2031
94	211	2014
95	212	1998
96	212	1981
97	213	1965
98	214	1950
99	215	1935
100	215	1920
101	216	1902
102	216	1888
103	217	1874
104	218	1860
105	218	1846
106	219	1832
107	220	1819
108	220	1805
109	221	1793
110	222	1780
111	223	1768
112	223	1755
113	224	1743
114	225	1731
115	225	1719
116	226	1707
117	226	1696
118	227	1684
119	228	1673
120	228	1662
121	229	1652
122	229	1639
123	230	1629
124	231	1619
125	232	1609
126	232	1600
127	233	1588
128	233	1579
129	234	1570
130	235	1561
131	236	1552
132	236	1543
133	237	1534
134	238	1526
135	238	1517
136	239	1509
137	240	1500
138	240	1492
139	241	1484
140	242	1476
141	243	1468
142	243	1461
143	244	1453
144	245	1445
145	245	1438
146	246	1431
147	247	1424
148	248	1416
149	248	1409
150	249	1402
151	250	1395
152	250	1388
